plate,row,col,well,Ab,gene
2,G,5,G05,HPA031121,DHRS7
2,H,5,H05,HPA031125,MCL1
2,A,6,A06,HPA031246,TTC27
2,B,6,B06,HPA031274,COQ3
2,C,6,C06,HPA031363,PPCS
2,D,6,D06,HPA031671,PPA2
2,E,6,E06,HPA031824,SDHAF4
2,F,6,F06,HPA031862,NLN
2,G,6,G06,HPA031956,BCKDHB
2,H,6,H06,HPA032140,SLC11A2
2,A,7,A07,HPA034517,COX5B
2,B,7,B07,HPA034602,PNPT1
2,C,7,C07,HPA034831,GTPBP8
2,D,7,D07,HPA035010,ATP5ME
2,E,7,E07,HPA035398,DHX36
2,F,7,F07,HPA035860,ALAS1
2,G,7,G07,HPA035905,PALLD
2,H,7,H07,HPA036223,GLS
2,A,8,A08,HPA036256,EIF2A
2,B,8,B08,HPA036408,LRPPRC
2,C,8,C08,HPA036576,TPPP
2,D,8,D08,HPA036671,TRMT10C
2,E,8,E08,HPA036683,SUCLG1
2,F,8,F08,HPA036745,PDHB
2,G,8,G08,HPA036752,BPHL
2,H,8,H08,HPA036938,TRNT1
2,A,9,A09,HPA037421,THAP9
2,B,9,B09,HPA037474,TMCO6
2,C,9,C09,HPA037585,THNSL1
2,D,9,D09,HPA037716,ACAD9
2,E,9,E09,HPA037758,MBLAC2
2,F,9,F09,HPA037880,EXOC3
2,G,9,G09,HPA037915,PRDX5
2,H,9,H09,HPA037949,DHTKD1
2,A,10,A10,HPA038091,KIAA0930
2,B,10,B10,HPA038122,CREB3L4
2,C,10,C10,HPA038300,MCCC2
2,D,10,D10,HPA038460,CS
2,E,10,E10,HPA038461,CS
2,F,10,F10,HPA038513,MRPS35
2,G,10,G10,HPA038873,NDUFC2-KCTD14;NDUFC2
2,H,10,H10,HPA039015,DYNC2H1
2,A,11,A11,HPA039017,MMAB
2,B,11,B11,HPA039481,ALDH1L2
2,C,11,C11,HPA039689,RPUSD4
2,D,11,D11,HPA039903,NDUFA12
2,E,11,E11,HPA039915,UBE3C
2,F,11,F11,HPA039950,ANKRD13D
2,G,11,G11,HPA040255,INTS14
2,H,11,H11,HPA040262,CLPX
2,A,12,A12,HPA040331,TMLHE
2,B,12,B12,HPA040649,HAUS3
